tc_sheet,tc_id,uc_id,ucs_id,use_case,scenario,test_case_title,test_case_description,validation_methodology,success_criteria,primary_kpi,threshold,measurement_method,detection_source,simulation_input,expected_signal,tool_script_ref,pre_req_setup,moat_classification,differentiation_tier,products,product_addon,execution_complexity,est_pov_duration,status
SecOps,TC-MDR-01,UC-MDR,UCS-MDR-01,Managed Detection & Response (MDR),Lack of 24/7 SOC Coverage,Validate Unit 42 MDR provides continuous monitoring with defined escalation SLAs,"Fires test detections into off-hours and weekend windows and clocks Unit 42 acknowledgement and escalation against the contracted SLA, verifying that both the coverage and the human notification path hold across every time window, not just business hours.",SLA Compliance,Monitoring coverage verified across all time windows; escalation SLA adherence validated; communication protocols function for critical escalations,Coverage %,Qualitative pass,Inspect XSIAM UI / query XQL dataset for sla compliance; compare to expected baseline,XSIAM UI + XQL,Execute scenario-specific simulation for Lack of 24/7 SOC Coverage,Monitoring coverage verified across all time windows,pov-scripts/secops/mdr/tc-mdr-01.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"Unit 42 MDR, XSIAM",,Medium,1–4hr,Active
SecOps,TC-MDR-02,UC-MDR,UCS-MDR-02,Managed Detection & Response (MDR),Insufficient Incident Response Expertise,Demonstrate Unit 42 MDR investigation and response on simulated incident,"Detonates a simulated intrusion and observes the MDR analyst's investigation and containment end to end, checking that isolation or process termination is scoped to the affected entity only and that every action lands in an auditable trail.",Response Execution Reliability,Containment actions execute within defined time SLA; actions are precise with no collateral impact; complete audit trail captures all automated actions,Automation Rate,Qualitative pass,Inspect XSIAM UI / query XQL dataset for response execution reliability; compare to expected baseline,XSIAM UI + XQL,Execute scenario-specific simulation for Insufficient Incident Response Expertise,Containment actions execute within defined time SLA,pov-scripts/secops/mdr/tc-mdr-02.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"Unit 42 MDR, XSIAM",,Medium,1–4hr,Active
SecOps,TC-MSIAM-01,UC-MSIAM,UCS-MSIAM-01,Managed XSIAM (MSIAM),Lack of Internal XSIAM Operational Expertise,"Validate MSIAM service onboards, tunes, and operates XSIAM to defined operational metrics","Assesses the managed service as operator of the platform itself — onboarding completeness, recurring tuning cadence, SLA reporting — validating that a customer with no in-house platform engineers can still run a modern SOC stack at target operational metrics.",Service Delivery,Onboarding and initial configuration complete; ongoing tuning cadence delivers measurable improvement; operational SLA measurement and reporting functions,Completeness %,Qualitative pass,Inspect XSIAM UI / query XQL dataset for service delivery; compare to expected baseline,XSIAM UI + XQL,Execute scenario-specific simulation for Lack of Internal XSIAM Operational Expertise,Onboarding and initial configuration complete,pov-scripts/secops/msiam/tc-msiam-01.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,MOAT,"Unit 42 MSIAM, XSIAM",,Medium,1–4hr,Active
SecOps,TC-MTH-01,UC-MTH,UCS-MTH-01,Managed Threat Hunting (MTH),No Dedicated Threat Hunting Program,Validate Unit 42 MTH delivers proactive hunt reports with actionable findings on cadence,"Measures whether scheduled human-led hunts surface activity the automated detection stack scored as benign, and whether each finding converts into concrete detection content — the hunt's value is the detections it adds, not the report it delivers.",Hunt Quality,Proactive hunt campaigns identify threats automated detection missed; findings are actionable with prioritized recommendations; detection improvement recommendations generated,Automation Rate,Qualitative pass,Inspect XSIAM UI / query XQL dataset for hunt quality; compare to expected baseline,XQL query engine (/public_api/v1/xql/start_xql_query),"Pre-seeded hunt dataset with 20–30 known IOCs across credential access, persistence, exfiltration",Proactive hunt campaigns identify threats automated detection missed,pov-scripts/secops/mth/tc-mth-01.md,"TBD — confirm tenant state, agent version, Broker VM config",Ecosystem,MOAT,"Unit 42 MTH, XSIAM",,Medium,1–4hr,Active
SecOps,TC-CDR-01,UC-CDR,UCS-CDR-01,Cloud Detection & Response,Cloud Runtime Threats Invisible to SOC,Validate runtime threat detection for containers and serverless workloads,"Detonates container escape and cryptomining behavior inside running containers and serverless functions, confirming runtime detections fire with pod, image, and namespace context attached and without imposing material performance cost on the protected workload.",Cloud-Native Detection,"Container-specific threats (escape, crypto-mining) detected with high fidelity; detection occurs without significant performance impact; SOC receives cloud-native context in incident details",MTTD,Qualitative pass,Inspect XSIAM UI / query XQL dataset for cloud-native detection; compare to expected baseline,XSIAM UI + XQL · Cortex Cloud Runtime Alerts + /api/v1/alerts,Execute scenario-specific simulation for Cloud Runtime Threats Invisible to SOC,"Container-specific threats (escape, crypto-mining) detected with high fidelity",pov-scripts/secops/cdr/tc-cdr-01.md,"TBD — confirm tenant state, agent version, Broker VM config",Cloud-Native,LEAD,"Cortex Cloud, XSIAM",,Medium,1–4hr,Active
SecOps,TC-CDR-02,UC-CDR,UCS-CDR-01,Cloud Detection & Response,Cloud Runtime Threats Invisible to SOC,Demonstrate cloud alert correlation with endpoint/network telemetry in unified incident,"Executes a cloud-to-endpoint attack path and confirms the control-plane alert, the network flow, and the endpoint process chain collapse into one incident, letting the SOC investigate cloud compromise in its normal workflow instead of pivoting to a cloud console.",Cross-Domain Correlation,Cloud alerts stitch with endpoint and network events in single incident; SOC analysts investigate cloud attacks using familiar workflow; cross-domain correlation catches cloud-to-endpoint attacks,Cross-Source Correlation Rate,Qualitative pass,Inspect XSIAM UI / query XQL dataset for cross-domain correlation; compare to expected baseline,XSIAM UI + XQL · Cortex Cloud Posture Dashboard + REST API,Execute multi-stage attack chain (T1566 email → T1059 endpoint → T1021 lateral → T1078 cloud identity),Cloud alerts stitch with endpoint and network events in single incident,pov-scripts/secops/cdr/tc-cdr-02.md,"TBD — confirm tenant state, agent version, Broker VM config",Platform,LEAD,"Cortex Cloud, XSIAM",,High,1 day,Active
SecOps,TC-CDR-03,UC-CDR,UCS-CDR-02,Cloud Detection & Response,Cloud Posture Drift and Misconfigurations,Validate CSPM policy scanning detects misconfigurations across multi-cloud accounts,"Introduces deliberate misconfigurations across multiple cloud accounts and measures detection latency and policy propagation, including whether a scoped exception can be granted for one account without weakening the same control everywhere else in the estate.",Policy Enforcement,Protection policies deploy and enforce correctly across target endpoints; policy exceptions function without disabling broader protection; policy change propagation meets time SLA,SLA Compliance,Qualitative pass,Inspect XSIAM UI / query XQL dataset for policy enforcement; compare to expected baseline,XSIAM UI + XQL · Cortex Cloud Policies + Alerts view,Execute scenario-specific simulation for Cloud Posture Drift and Misconfigurations,Protection policies deploy and enforce correctly across target endpoints,pov-scripts/secops/cdr/tc-cdr-03.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,LEAD,"Cortex Cloud, XSIAM",,Medium,1–4hr,Active
SecOps,TC-CDR-04,UC-CDR,UCS-CDR-03,Cloud Detection & Response,Cloud Identity Exposure (CIEM),Validate CIEM identifies over-permissioned cloud identities and recommends least-privilege,"Maps effective permissions for IAM, SAML, and OIDC principals against permissions actually exercised, surfacing dormant and excessive entitlements with least-privilege recommendations, and links each cloud principal back to its human identity so blast radius is expressed per person.",Identity Correlation,"Identity data ingested from multiple IdPs (AD, Azure AD, Okta); same user correlated across identity providers; unified identity timeline shows cross-provider activity",Cross-Source Correlation Rate,Qualitative pass,Inspect XSIAM UI / query XQL dataset for identity correlation; compare to expected baseline,XSIAM UI + XQL · Cortex Cloud Posture Dashboard + REST API,Execute multi-stage attack chain (T1566 email → T1059 endpoint → T1021 lateral → T1078 cloud identity),"Identity data ingested from multiple IdPs (AD, Azure AD, Okta)",pov-scripts/secops/cdr/tc-cdr-04.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,LEAD,"Cortex Cloud, XSIAM",,High,1 day,Active
SecOps,TC-CDR-05,UC-CDR,UCS-CDR-04,Cloud Detection & Response,Agentless Workload Protection,Demonstrate agentless scanning and protection for workloads where agent deployment is infeasible,"Covers workloads that cannot take an agent — hardened images, third-party-managed accounts, ephemeral compute — using API and cloud-log telemetry, then benchmarks the findings against an agent-instrumented control host to quantify exactly what visibility is lost.",Agentless Protection,Agentless scanning and protection for cloud workloads functions correctly; coverage gap for agent-incompatible workloads addressed; findings match agent-based detection baselines,Coverage %,Qualitative pass,Inspect XSIAM UI / query XQL dataset for agentless protection; compare to expected baseline,XSIAM UI + XQL · Cortex Cloud Posture Dashboard + REST API,Execute scenario-specific simulation for Agentless Workload Protection,Agentless scanning and protection for cloud workloads functions correctly,pov-scripts/secops/cdr/tc-cdr-05.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,LEAD,"Cortex Cloud, XSIAM",,Medium,1–4hr,Active
SecOps,TC-SOT-01,UC-SOT,UCS-SOT-01,Security Operations Transformation,No Defined Alerting / Triage Strategy,"Validate customer alerting strategy alignment: rule tuning, threshold config, escalation paths","Tunes detection rules and thresholds to the customer's own risk priorities and measures the resulting false-positive reduction, plus whether escalation policies route each severity to the team that actually owns it — installing a triage strategy where none existed.",Strategy Alignment,Rule tuning measurably reduces false positive rate; escalation policies route alerts to appropriate teams; alerting strategy reflects organizational risk priorities,False Positive Rate,Qualitative pass,Inspect XSIAM UI / query XQL dataset for strategy alignment; compare to expected baseline,XSIAM UI + XQL,Execute scenario-specific simulation for No Defined Alerting / Triage Strategy,Rule tuning measurably reduces false positive rate,pov-scripts/secops/sot/tc-sot-01.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,MOAT,XSIAM,,Medium,1–4hr,Active
SecOps,TC-SOT-02,UC-SOT,UCS-SOT-01,Security Operations Transformation,No Defined Alerting / Triage Strategy,Demonstrate triage-as-validation workflow with auto-triage and analyst override,"Feeds a labeled alert corpus through automated triage and checks that at least 60 percent are correctly dispositioned, that scoring ranks known-malicious incidents above benign ones, and that analyst overrides are captured as training signal rather than discarded.",AI Triage Accuracy,Auto-triage correctly classifies >60% of test alert volume; SmartScore ranks known-malicious incidents higher than benign; analyst override feedback loop functions correctly,Triage Automation Rate,>60%,Inspect XSIAM UI / query XQL dataset for ai triage accuracy; compare to expected baseline,XSIAM Incidents (XQL: dataset=incidents),"Inject synthetic alert volume (500–1,000 alerts mixing Atomic Red Team T1059 / T1021 with benign noise)",Auto-triage correctly classifies >60% of test alert volume,pov-scripts/secops/sot/tc-sot-02.md,"TBD — confirm tenant state, agent version, Broker VM config",AI-Native,MOAT,XSIAM,,Medium,1–4hr,Active
SecOps,TC-SOT-03,UC-SOT,UCS-SOT-02,Security Operations Transformation,Platform Care and Feeding / Self-Healing Loop,Demonstrate lifecycle management: detection tuning → enrichment → response → feedback loop,"Traces one detection through a full self-healing cycle — tuned rule, automatic enrichment before analyst review, executed response, outcome fed back into the rule — proving the platform improves from its own incident history without a dedicated content engineer.",Enrichment Coverage & Speed,"Automated enrichment adds TI, reputation, and asset context pre-analyst review; enrichment completes within defined time SLA; enrichment sources produce accurate, current data",Coverage %,Qualitative pass,Inspect XSIAM UI / query XQL dataset for enrichment coverage & speed; compare to expected baseline,XSIAM UI + XQL,Execute scenario-specific simulation for Platform Care and Feeding / Self-Healing Loop,"Automated enrichment adds TI, reputation, and asset context pre-analyst review",pov-scripts/secops/sot/tc-sot-03.md,"TBD — confirm tenant state, agent version, Broker VM config",Ecosystem,MOAT,XSIAM,,Medium,1–4hr,Active
SecOps,TC-BYOML-01,UC-BYOML,UCS-BYOML-01,Advanced Analytics & BYOML,Custom Detection Requirements Beyond OOTB Rules,Validate BYOML model deployment for custom anomaly detection on customer-specific data,"Deploys a customer-authored anomaly model against native platform data and confirms its inferences surface as ordinary alerts inside the standard incident workflow at production scale — no data export, no parallel ML pipeline, no separate console for model output.",Model Deployment Validation,Customer ML model deploys and infers correctly on XSIAM data; model output generates actionable alerts within standard workflow; inference performance meets scale requirements,MTTD,Qualitative pass,Inspect XSIAM UI / query XQL dataset for model deployment validation; compare to expected baseline,XSIAM UI + XQL,Execute scenario-specific simulation for Custom Detection Requirements Beyond OOTB Rules,Customer ML model deploys and infers correctly on XSIAM data,pov-scripts/secops/byoml/tc-byoml-01.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,MOAT,XSIAM,,Medium,1–4hr,Active
SecOps,TC-BYOML-02,UC-BYOML,UCS-BYOML-01,Advanced Analytics & BYOML,Custom Detection Requirements Beyond OOTB Rules,Demonstrate datamodel customization for industry-specific correlation rules,"Extends the data model with industry-specific fields and builds correlation rules against them, confirming the custom content executes alongside out-of-the-box detections without conflicting with them or being overwritten when vendor content packs update.",Customization Validation,Custom datamodel fields and correlation logic function correctly; industry-specific rules detect target patterns; custom rules coexist with OOTB detections,Cross-Source Correlation Rate,Qualitative pass,Inspect XSIAM UI / query XQL dataset for customization validation; compare to expected baseline,XSIAM UI + XQL,Execute scenario-specific simulation for Custom Detection Requirements Beyond OOTB Rules,Custom datamodel fields and correlation logic function correctly,pov-scripts/secops/byoml/tc-byoml-02.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,MOAT,XSIAM,,Medium,1–4hr,Active
SecOps,TC-DLP-01,UC-DLP,UCS-DLP-01,Data Loss Prevention (DLP),Data Exfiltration Detection & Prevention,"Validate DLP detects sensitive data (PII/PCI/PHI) exfiltration attempts across email, web upload, and USB channels in real time","Exfiltrates seeded PII, PCI, and PHI over email attachment, sanctioned-cloud upload, and USB copy in parallel, measuring per-channel detection, sub-second block enforcement, and the false-positive rate against benign traffic carrying structurally similar data.","Simulate exfiltration of test PII data via email attachment, cloud upload (Box/GDrive), and USB copy; verify detection and blocking",100% detection rate across all channels with <2% false positive rate and sub-second blocking,False Positive Rate,<2%,"Inspect XSIAM UI / query XQL dataset for simulate exfiltration of test pii data via email attachment, cloud upload (box/gdrive), and usb copy; verify detection and blocking; compare to expected baseline",XSIAM UI + XQL,Execute scenario-specific simulation for Data Exfiltration Detection & Prevention,100% detection rate across all channels with <2% false positive rate and sub-second blocking,pov-scripts/secops/dlp/tc-dlp-01.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XSIAM, Enterprise DLP",,Medium,1–4hr,Active
SecOps,TC-DLP-02,UC-DLP,UCS-DLP-01,Data Loss Prevention (DLP),Data Exfiltration Detection & Prevention,Demonstrate cross-channel correlation identifies coordinated data staging across endpoint and network,"Stages exfiltration the way a real actor would — bulk local copy, compress, encrypt, upload to personal cloud — and requires the platform to fuse three or more of those individually weak endpoint and network signals into one high-confidence alert within five minutes.",Simulate staged exfiltration: bulk file copy to local folder → compress → encrypt → upload to personal cloud; validate correlation across telemetry,XSIAM correlates 3+ staging indicators into single high-confidence exfiltration alert within 5 minutes,Cross-Source Correlation Rate,within 5 min,Inspect XSIAM UI / query XQL dataset for simulate staged exfiltration: bulk file copy to local folder → compress → encrypt → upload to personal cloud; validate correlation across telemetry; compare to expected baseline,XSIAM UI + XQL,Execute multi-stage attack chain (T1566 email → T1059 endpoint → T1021 lateral → T1078 cloud identity),XSIAM correlates 3+ staging indicators into single high-confidence exfiltration alert within 5 minutes,pov-scripts/secops/dlp/tc-dlp-02.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XSIAM, Enterprise DLP",,High,1 day,Active
SecOps,TC-DLP-03,UC-DLP,UCS-DLP-02,Data Loss Prevention (DLP),DLP Policy Enforcement & Tuning,"Validate DLP policy creation and enforcement across endpoint, network, and SaaS data channels from unified console","Tests whether a single financial-data classification policy authored once in the console propagates to endpoint, network, and SaaS enforcement points within 15 minutes, proving there is no channel where regulated documents slip through because the policy never landed there.",Create DLP policy for financial data classification; deploy across all channels; test with sample documents containing financial data patterns,Policy enforced consistently across all 3 channels within 15 minutes of creation; zero enforcement gaps,Policy deployment time,within 15 min,Inspect XSIAM UI / query XQL dataset for create dlp policy for financial data classification; deploy across all channels; test with sample documents containing financial data patterns; compare to expected baseline,XSIAM UI + XQL,Execute multi-stage attack chain (T1566 email → T1059 endpoint → T1021 lateral → T1078 cloud identity),Policy enforced consistently across all 3 channels within 15 minutes of creation,pov-scripts/secops/dlp/tc-dlp-03.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XSIAM, Enterprise DLP",,Medium,1–4hr,Active
SecOps,TC-DLP-04,UC-DLP,UCS-DLP-02,Data Loss Prevention (DLP),DLP Policy Enforcement & Tuning,Demonstrate policy tuning workflow reduces false positives by iterating on detection patterns with analyst feedback loop,"Deploys a deliberately broad PII policy to accumulate noise, then exercises the analyst feedback path into pattern refinement — measuring whether one tuning cycle cuts false positives 40% while true-positive coverage holds, so DLP stays enforcing rather than getting muted.",Deploy broad PII detection policy; collect false positives over test period; demonstrate analyst feedback mechanism and automated policy refinement,False positive rate reduced by 40%+ after one tuning cycle without reducing true positive rate,False Positive Rate,40%,Inspect XSIAM UI / query XQL dataset for deploy broad pii detection policy; collect false positives over test period; demonstrate analyst feedback mechanism and automated policy refinement; compare to expected baseline,XSIAM UI + XQL,Trigger incident matching automated playbook conditions; measure playbook completion,False positive rate reduced by 40%+ after one tuning cycle without reducing true positive rate,pov-scripts/secops/dlp/tc-dlp-04.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XSIAM, Enterprise DLP",,Medium,1–4hr,Active
SecOps,TC-DLP-05,UC-DLP,UCS-DLP-03,Data Loss Prevention (DLP),Insider Threat Data Movement,Validate behavioral analytics detect anomalous data access patterns indicative of insider threat pre-exfiltration,"Profiles a departing-employee pattern — bulk pulls outside role, first-time repository access, after-hours spikes — to confirm the behavioral baseline scores the deviation above 80/100 within 24 hours, surfacing intent during staging rather than after the data has left.","Simulate departing employee behavior: bulk download of files outside normal role, access to previously unvisited repos, after-hours activity spike",Behavioral anomaly flagged within 24 hours of pattern onset with risk score >80/100,Behavioral detection latency,within 24 hours,"Inspect XSIAM UI / query XQL dataset for simulate departing employee behavior: bulk download of files outside normal role, access to previously unvisited repos, after-hours activity spike; compare to expected baseline",XSIAM UI + XQL,Execute scenario-specific simulation for Insider Threat Data Movement,Behavioral anomaly flagged within 24 hours of pattern onset with risk score >80/100,pov-scripts/secops/dlp/tc-dlp-05.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XSIAM, Enterprise DLP",,Medium,1–4hr,Active
SecOps,TC-DLP-06,UC-DLP,UCS-DLP-03,Data Loss Prevention (DLP),Insider Threat Data Movement,Demonstrate DLP integration with UEBA provides enriched insider risk timeline for investigation,"Confirms an insider alert arrives already carrying 30 days of behavioral baseline, peer-group comparison, and historical access patterns within two minutes of creation, so the analyst opens the investigation with context instead of spending the first hour assembling it.","Trigger insider threat alert; verify XSIAM enriches with user behavior baseline, peer group comparison, and historical access patterns",Investigation timeline auto-populated with 30-day behavioral context within 2 minutes of alert creation,Enrichment time,within 2 min,"Inspect XSIAM UI / query XQL dataset for trigger insider threat alert; verify xsiam enriches with user behavior baseline, peer group comparison, and historical access patterns; compare to expected baseline",XSIAM UI + XQL,"Inject synthetic alert volume (500–1,000 alerts mixing Atomic Red Team T1059 / T1021 with benign noise)",Investigation timeline auto-populated with 30-day behavioral context within 2 minutes of alert creation,pov-scripts/secops/dlp/tc-dlp-06.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XSIAM, Enterprise DLP",,Medium,1–4hr,Active
SecOps,TC-DLP-07,UC-DLP,UCS-DLP-04,Data Loss Prevention (DLP),Compliance-Driven Data Controls (PCI/HIPAA/GDPR),"Validate DLP enforces regulatory compliance controls for PCI-DSS, HIPAA, and GDPR data classification and handling requirements","Exercises cardholder data, PHI, and EU personal data against compliance-scoped DLP profiles, confirming every regulated transfer is both blocked and logged to an evidentiary standard an auditor will accept — enforcement plus provable record, not alerting alone.","Configure compliance-specific DLP profiles; test with regulated data types (CHD, PHI, EU personal data); verify blocking and logging meets audit requirements",100% enforcement of regulated data controls with complete audit trail for compliance reporting,Compliance Score,100%,"Inspect XSIAM UI / query XQL dataset for configure compliance-specific dlp profiles; test with regulated data types (chd, phi, eu personal data); verify blocking and logging meets audit requirements; compare to expected baseline",XSIAM UI + XQL,Execute scenario-specific simulation for Compliance-Driven Data Controls (PCI/HIPAA/GDPR),100% enforcement of regulated data controls with complete audit trail for compliance reporting,pov-scripts/secops/dlp/tc-dlp-07.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XSIAM, Enterprise DLP",,Medium,1–4hr,Active
SecOps,TC-DLP-08,UC-DLP,UCS-DLP-04,Data Loss Prevention (DLP),Compliance-Driven Data Controls (PCI/HIPAA/GDPR),Demonstrate automated compliance reporting with data flow mapping across regulated environments,"Measures whether a full-channel compliance report covering data flows, violations, and remediation state can be produced in under five minutes with zero manual evidence collection, converting audit preparation from a multi-week gathering exercise into a query.","Run compliance scan across all monitored channels; generate automated report showing data flows, violations, and remediation status",Compliance report generated in <5 minutes covering all monitored channels with zero manual data collection required,Compliance Score,<5 minutes,"Inspect XSIAM UI / query XQL dataset for run compliance scan across all monitored channels; generate automated report showing data flows, violations, and remediation status; compare to expected baseline",XSIAM UI + XQL,Execute multi-stage attack chain (T1566 email → T1059 endpoint → T1021 lateral → T1078 cloud identity),Compliance report generated in <5 minutes covering all monitored channels with zero manual data collection required,pov-scripts/secops/dlp/tc-dlp-08.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XSIAM, Enterprise DLP",,Medium,1–4hr,Active
SecOps,TC-DLP-09,UC-DLP,UCS-DLP-05,Data Loss Prevention (DLP),DLP Incident Response & Remediation,Validate DLP incidents auto-create XSIAM cases with full context and recommended remediation playbooks,"Confirms a DLP violation lands as a fully-formed case within 30 seconds carrying data classification, user context, and regulatory impact, with the matching remediation playbook already attached — eliminating analyst re-keying between the DLP tool and the case system.","Trigger DLP violation; verify XSIAM case creation with data classification, user context, regulatory impact, and suggested remediation steps",DLP case created within 30 seconds with complete context and appropriate playbook auto-attached,Completeness %,within 30 sec,"Inspect XSIAM UI / query XQL dataset for trigger dlp violation; verify xsiam case creation with data classification, user context, regulatory impact, and suggested remediation steps; compare to expected baseline",XSIAM UI + XQL,Execute scenario-specific simulation for DLP Incident Response & Remediation,DLP case created within 30 seconds with complete context and appropriate playbook auto-attached,pov-scripts/secops/dlp/tc-dlp-09.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XSIAM, Enterprise DLP",,Medium,1–4hr,Active
SecOps,TC-DLP-10,UC-DLP,UCS-DLP-05,Data Loss Prevention (DLP),DLP Incident Response & Remediation,Demonstrate AgentiX automated DLP incident remediation with user notification and manager escalation workflow,"Drives a standard violation through unattended remediation — user notification, data quarantine, manager escalation on timeout — establishing that routine DLP incidents reach closure within 15 minutes with no analyst intervention, reserving human attention for genuinely ambiguous cases.","Trigger DLP incident; verify automated Slack notification to user, manager escalation after timeout, and automated data quarantine",End-to-end remediation workflow completes within 15 minutes with zero analyst intervention for standard violations,Automation Rate,within 15 min,"Inspect XSIAM UI / query XQL dataset for trigger dlp incident; verify automated slack notification to user, manager escalation after timeout, and automated data quarantine; compare to expected baseline",XSIAM Incidents (XQL: dataset=incidents),Trigger incident matching automated playbook conditions; measure playbook completion,End-to-end remediation workflow completes within 15 minutes with zero analyst intervention for standard violations,pov-scripts/secops/dlp/tc-dlp-10.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XSIAM, Enterprise DLP",,Medium,1–4hr,Active
SecOps,TC-DLP-11,UC-DLP,UCS-DLP-06,Data Loss Prevention (DLP),SaaS Application Data Controls,Validate DLP monitors and controls sensitive data movement across sanctioned and unsanctioned SaaS applications,"Pushes sensitive content through Slack, Teams, Salesforce, and Google Workspace alongside unsanctioned upload paths, measuring whether control extends past the sanctioned application list into shadow IT — the channel where most real SaaS data loss actually occurs.","Configure SaaS DLP for Slack, Teams, Salesforce, Google Workspace; test sensitive data posting and file sharing across sanctioned and shadow IT apps",Sensitive data detected and controlled in 100% of sanctioned apps and 90%+ of shadow IT uploads,SaaS coverage %,100%,"Inspect XSIAM UI / query XQL dataset for configure saas dlp for slack, teams, salesforce, google workspace; test sensitive data posting and file sharing across sanctioned and shadow it apps; compare to expected baseline",XSIAM UI + XQL,Execute multi-stage attack chain (T1566 email → T1059 endpoint → T1021 lateral → T1078 cloud identity),Sensitive data detected and controlled in 100% of sanctioned apps and 90%+ of shadow IT uploads,pov-scripts/secops/dlp/tc-dlp-11.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XSIAM, Enterprise DLP",,Medium,1–4hr,Active
SecOps,TC-AES-01,UC-AES,UCS-AES-01,Advanced Email Security,Phishing & Social Engineering Detection,"Validate AI-driven phishing detection identifies credential harvesting, brand impersonation, and zero-day phishing URLs across email platforms","Fires 100+ crafted samples — credential harvest, brand spoof, QR-code lures, never-before-seen URLs — through both M365 and Google Workspace, establishing that novel-phish catch rate holds near 85% while false positives on genuine business mail stay under 1%.","Submit 100+ simulated phishing emails (credential harvest, brand spoof, zero-day URLs, QR code phish) across M365 and Google Workspace; measure detection rates","95%+ detection rate for known techniques, 85%+ for novel/zero-day phishing with <1% false positive rate on legitimate business emails",False Positive Rate,<1%,"Inspect XSIAM UI / query XQL dataset for submit 100+ simulated phishing emails (credential harvest, brand spoof, zero-day urls, qr code phish) across m365 and google workspace; measure detection rates; compare to expected baseline",XSIAM UI + XQL,Execute multi-stage attack chain (T1566 email → T1059 endpoint → T1021 lateral → T1078 cloud identity),"95%+ detection rate for known techniques, 85%+ for novel/zero-day phishing with <1% false positive rate on legitimate business emails",pov-scripts/secops/aes/tc-aes-01.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XSIAM, AgentiX",,Medium,1–4hr,Active
SecOps,TC-AES-02,UC-AES,UCS-AES-01,Advanced Email Security,Phishing & Social Engineering Detection,Demonstrate cross-signal correlation links phishing emails to downstream credential compromise and lateral movement indicators,"Walks a delivered phish through credential entry, anomalous login, and lateral movement, verifying email, identity, and endpoint telemetry fuse into a single incident within three minutes rather than surfacing as three unrelated alerts in three separate consoles.",Simulate phishing → credential entry → anomalous login → lateral movement chain; verify XSIAM correlates email event with identity and endpoint telemetry,Full attack chain correlated into single incident within 3 minutes of initial phishing delivery,Cross-Source Correlation Rate,within 3 min,Inspect XSIAM UI / query XQL dataset for simulate phishing → credential entry → anomalous login → lateral movement chain; verify xsiam correlates email event with identity and endpoint telemetry; compare to expected baseline,XSIAM UI + XQL,Execute multi-stage attack chain (T1566 email → T1059 endpoint → T1021 lateral → T1078 cloud identity),Full attack chain correlated into single incident within 3 minutes of initial phishing delivery,pov-scripts/secops/aes/tc-aes-02.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XSIAM, AgentiX",,Medium,1–4hr,Active
SecOps,TC-AES-03,UC-AES,UCS-AES-02,Advanced Email Security,Business Email Compromise (BEC),"Validate BEC detection identifies executive impersonation, vendor invoice fraud, and payment redirect attempts using behavioral and content analysis","Puts payloadless fraud — CEO wire request, vendor invoice with swapped bank details, W2 pretext — against behavioral and content analysis, where the binding constraint is holding false positives below 0.5% on legitimate executive traffic that looks structurally identical.","Simulate BEC scenarios: CEO impersonation requesting wire transfer, vendor invoice with modified bank details, HR impersonation requesting W2 data",90%+ BEC detection with <0.5% false positive rate on legitimate executive communications,False Positive Rate,<0.5%,"Inspect XSIAM UI / query XQL dataset for simulate bec scenarios: ceo impersonation requesting wire transfer, vendor invoice with modified bank details, hr impersonation requesting w2 data; compare to expected baseline",XSIAM UI + XQL,Execute scenario-specific simulation for Business Email Compromise (BEC),90%+ BEC detection with <0.5% false positive rate on legitimate executive communications,pov-scripts/secops/aes/tc-aes-03.md,"TBD — confirm tenant state, agent version, Broker VM config",Table Stakes,PARITY,"XSIAM, AgentiX",,Medium,1–4hr,Active
