TC ID,UC ID,Family,Plane,Scenario dir,Moat Class,Tier,Primary KPI,Threshold,Detection Source,Test Case
TC-0058,UC-007,F1-SignalInjection,ANALYTICS,scenarios/multi_plane/,Platform,PARITY,Detection Accuracy,95%,XQL query engine (/public_api/v1/xql/start_xql_query),"Validate XDL ingests and normalizes telemetry from 1,100+ integrations at petabyte scale with consistent schema mapping"
TC-0059,UC-007,F5-AutomationWorkflow,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Volume reduction %,30%,XSIAM UI + XQL,Demonstrate Chronosphere Telemetry Pipeline filters low-value noise to reduce data volumes by 30%+ while preserving secu
TC-0060,UC-007,F4-PostureCompliance,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Compliance Score,40%,XSIAM UI + XQL,Validate cost-efficient data lake tiers automatically route data based on access frequency and investigation relevance
TC-0061,UC-007,F4-PostureCompliance,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Compliance Score,<60 second,XQL query engine (/public_api/v1/xql/start_xql_query),"Validate flexible long-term retention supports 1-7 year compliance requirements (PCI-DSS, HIPAA, SOX) with full query ca"
TC-0062,UC-007,F2-CausalityStitching,ANALYTICS,scenarios/multi_plane/,Platform,PARITY,Cross-Source Correlation Rate,within 15 min,XSIAM UI + XQL,Demonstrate forensic investigation across retained data sets supports incident reconstruction with full cross-source cor
TC-0063,UC-007,F2-CausalityStitching,ANALYTICS,scenarios/multi_plane/,Platform,PARITY,Cross-Source Correlation Rate,within 30 sec,XQL query engine (/public_api/v1/xql/start_xql_query),Validate federated search queries distributed data sources without additional ingestion or storage costs
TC-0064,UC-007,F3-AssetDiscovery,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Discovery Latency,<2x,XSIAM UI + XQL,Demonstrate federated search enables cost-effective investigation of data that would be prohibitively expensive to fully
TC-0065,UC-007,F3-AssetDiscovery,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Discovery Latency,within 2 min,XSIAM UI + XQL,Validate Chronosphere observability integration enables security teams to correlate application performance anomalies wi
TC-0066,UC-007,F8-IntegrationIngestion,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Completeness %,50%,XSIAM Incidents (XQL: dataset=incidents),Demonstrate unified security-observability dashboard enables joint SecOps/DevOps investigation reducing cross-team escal
TC-PSER-01,UC-PSER,F1-SignalInjection,CSPM,scenarios/cspm/  (proposed),Cloud-Native,LEAD,MTTD,within 30 min,Cortex Cloud Posture Dashboard + REST API,"Validate Multi-Cloud Onboarding Verification — AWS, Azure, GCP accounts onboarded via Terraform/CloudFormation templates"
TC-PSER-02,UC-PSER,F4-PostureCompliance,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,Compliance Score,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,Validate Dashboard & Reporting Accuracy — Executive dashboard reflects accurate posture score across all onboarded accou
TC-CSPM-01,UC-CSPM,F3-AssetDiscovery,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,Asset Discovery Coverage,within 15 min,Cortex Cloud Inventory (/api/v1/inventory),Validate Cloud Asset Discovery & Inventory — All cloud assets discovered across connected accounts with accurate metadat
TC-CSPM-02,UC-CSPM,F5-AutomationWorkflow,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,Remediation Success Rate,Qualitative pass,Cortex Cloud Policies + Alerts view,"Validate Security Policy Enforcement — OOTB policies (CIS, NIST, SOC2) evaluate correctly against target resources"
TC-CSPM-03,UC-CSPM,F5-AutomationWorkflow,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,Triage Automation Rate,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,Validate Issue Triage & Case Management — Security findings surface as prioritized Cases with accurate severity scoring
TC-CSPM-04,UC-CSPM,F1-SignalInjection,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,MTTD,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,"Validate Posture Assessment & Management — Posture assessment covers all connected resources across CSPM, CWPP, CIEM, an"
TC-CSPM-05,UC-CSPM,F3-AssetDiscovery,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,Asset Discovery Coverage,>95%,Cortex Cloud Posture Dashboard + REST API,Validate Agentless Scanning Coverage — vulnerability + compliance findings match agent-based baselines within 5% varianc
TC-CVM-01,UC-CVM,F1-SignalInjection,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,MTTD,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Runtime Alerts + /api/v1/alerts,"Validate Workload Vulnerability Detection — Known CVEs detected across VMs, containers, and serverless with accurate CVS"
TC-CVM-02,UC-CVM,F5-AutomationWorkflow,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,Remediation Success Rate,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Posture Dashboard + REST API,"Validate Vulnerability Intelligence Enrichment — Findings enriched with Unit 42 exploit intelligence, CISA KEV status, a"
TC-CVM-03,UC-CVM,F2-CausalityStitching,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,Cross-Source Correlation Rate,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Posture Dashboard + REST API,Demonstrate Internet Exposure Correlation — Internet-facing vulnerable assets identified by correlating vulnerability fi
TC-CCMP-01,UC-CCMP,F4-PostureCompliance,CSPM,scenarios/cspm/  (proposed),Cloud-Native,LEAD,Compliance Score,Qualitative pass,Cortex Cloud Policies + Alerts view,Validate Scheduled Compliance Reporting — Scheduled compliance reports generate on defined cadence (daily/weekly/monthly
TC-CCMP-02,UC-CCMP,F4-PostureCompliance,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,Coverage %,Qualitative pass,Cortex Cloud Policies + Alerts view,Validate Compliance Dashboard Accuracy — Dashboard reflects accurate control coverage per standard
TC-CCMP-03,UC-CCMP,F4-PostureCompliance,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,Coverage %,Qualitative pass,Cortex Cloud Policies + Alerts view,"Validate OOTB Compliance Standards Coverage — All target standards (CIS, NIST 800-53, SOC2, PCI-DSS, HIPAA, GDPR) availa"
TC-CCMP-04,UC-CCMP,F4-PostureCompliance,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,Compliance Score,Qualitative pass,Cortex Cloud Policies + Alerts view,Validate Custom Compliance Framework — Custom compliance standards created with organization-specific controls
TC-CRPS-01,UC-CRPS,F1-SignalInjection,CSPM,scenarios/cspm/  (proposed),Table Stakes,MOAT,MTTD,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,"Validate Graph Search Visualization — Graph Search returns accurate asset relationships, attack paths, and finding inter"
TC-CRPS-02,UC-CRPS,F1-SignalInjection,CSPM,scenarios/cspm/  (proposed),Table Stakes,MOAT,MTTD,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,"Validate Risk Scoring Model Validation — Risk scores combine multiple signals (exploit context, exposure, blast radius, "
TC-CRPS-03,UC-CRPS,F1-SignalInjection,CSPM,scenarios/cspm/  (proposed),Table Stakes,MOAT,MTTD,Qualitative pass,Cortex Cloud Inventory (/api/v1/inventory),"Validate Asset Group Risk Aggregation — Asset groups correctly segment resources by business unit, environment, or custo"
TC-CRWA-01,UC-CRWA,F1-SignalInjection,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,Detection Accuracy,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,"Validate Remediation Guidance Accuracy — Remediation guidance includes cloud provider-specific CLI commands, IaC fixes ("
TC-CRWA-02,UC-CRWA,F5-AutomationWorkflow,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,Automation Rate,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,Validate Playbook Automation Execution — execution audit trail captures all actions
TC-CRWA-03,UC-CRWA,F5-AutomationWorkflow,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,Automation Rate,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,Validate Scripted Remediation Execution — Custom remediation scripts execute correctly against target resources via Cort
TC-CRWA-04,UC-CRWA,F5-AutomationWorkflow,CSPM,scenarios/cspm/  (proposed),Cloud-Native,LEAD,Automation Rate,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,Validate Auto-Remediation Reliability — Automated remediation resolves target misconfigurations without human interventi
TC-CRWA-05,UC-CRWA,F5-AutomationWorkflow,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,Remediation Success Rate,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,Demonstrate Ticketing Integration Sync — Bidirectional sync with Jira/ServiceNow creates tickets from findings with full
TC-KSPM-01,UC-KSPM,F3-AssetDiscovery,CSPM,scenarios/cspm/  (proposed),Cloud-Native,LEAD,Asset Discovery Coverage,Qualitative pass,Cortex Cloud Inventory (/api/v1/inventory),"Validate Kubernetes Asset Discovery — All cluster resources (pods, services, deployments, namespaces, RBAC) discovered w"
TC-KSPM-02,UC-KSPM,F5-AutomationWorkflow,CSPM,scenarios/cspm/  (proposed),Cloud-Native,LEAD,Remediation Success Rate,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,Validate Kubernetes Dashboard & CIS Benchmarks — KSPM dashboard reflects accurate cluster posture against CIS Kubernetes
TC-KSPM-03,UC-KSPM,F1-SignalInjection,CSPM,scenarios/cspm/  (proposed),Cloud-Native,LEAD,MTTD,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,Validate Admission Controller Enforcement — Admission controller blocks non-compliant workloads at deploy time
TC-CIEM-01,UC-CIEM,F1-SignalInjection,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,MTTD,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,"Validate Net-Effective Permission Analysis — Net-effective permissions calculated across IAM policies, resource policies"
TC-CIEM-02,UC-CIEM,F1-SignalInjection,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,MTTD,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,"Validate Identity Risk Dashboard — Dashboard reflects accurate entitlement state across AWS, Azure, GCP"
TC-CIEM-03,UC-CIEM,F1-SignalInjection,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,MTTD,Qualitative pass,Cortex Cloud Runtime Alerts + /api/v1/alerts,"Validate Privileged Permission Detection — Privilege escalation paths identified (iam:PassRole, sts:AssumeRole chains)"
TC-CIEM-04,UC-CIEM,F6-ResponseTiming,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,SLA Compliance,<1hr,Cortex Cloud Posture Dashboard + REST API,Validate Identity Provider Sync — sync cadence meets freshness SLA (<1hr)
TC-CASM-01,UC-CASM,F3-AssetDiscovery,ASM,scenarios/asm/  (proposed),Ecosystem,MOAT,Asset Discovery Coverage,Qualitative pass,Cortex Cloud Inventory (/api/v1/inventory) · Xpanse Asset Inventory + Issues,Validate External Attack Surface Discovery — discovery covers all registered IP ranges and domains
TC-CASM-02,UC-CASM,F3-AssetDiscovery,ASM,scenarios/asm/  (proposed),Ecosystem,MOAT,Asset Discovery Coverage,Qualitative pass,Cortex Cloud Posture Dashboard + REST API · Xpanse Asset Inventory + Issues,Validate Service & Port Identification — Running services and open ports correctly identified with version detection
TC-CASM-03,UC-CASM,F1-SignalInjection,ASM,scenarios/asm/  (proposed),Ecosystem,MOAT,MTTD,Qualitative pass,Cortex Cloud Posture Dashboard + REST API · Xpanse Asset Inventory + Issues,"Validate Internet Exposure Risk Scoring — Exposure risk scored combining service type, vulnerability status, data sensit"
TC-DSPM-01,UC-DSPM,F3-AssetDiscovery,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,Asset Discovery Coverage,Qualitative pass,Cortex Cloud Inventory (/api/v1/inventory),"Validate Data Asset Discovery — Data stores (S3, RDS, DynamoDB, BigQuery, Cosmos DB) discovered across multi-cloud"
TC-DSPM-02,UC-DSPM,F1-SignalInjection,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,False Positive Rate,<5%,Cortex Cloud Posture Dashboard + REST API,Validate Data Classification Accuracy — false positive rate <5% on test dataset with known labels
TC-DSPM-03,UC-DSPM,F1-SignalInjection,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,MTTD,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,"Validate Data Risk & Exposure Analysis — Data exposure paths identified (public access, overly broad IAM, cross-account "
TC-DSPM-04,UC-DSPM,F1-SignalInjection,CSPM,scenarios/cspm/  (proposed),Cloud-Native,LEAD,MTTD,Qualitative pass,Cortex Cloud Runtime Alerts + /api/v1/alerts,Validate Data Detection & Response (DDR) — Anomalous data access patterns detected in near-real-time
TC-ASPM-01,UC-ASPM,F8-IntegrationIngestion,CSPM,scenarios/cspm/  (proposed),Cloud-Native,MOAT,Completeness %,Qualitative pass,ASPM Command Center (/api/v1/asoc/findings),Validate Code-to-Cloud Traceability — traceability chain complete from git commit → image → deployment → runtime
TC-SAST-01,UC-SAST,F1-SignalInjection,CSPM,scenarios/cspm/  (proposed),Table Stakes,MOAT,MTTD,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,Validate Third-Party SAST Ingestion — unified priority view across all scanners
TC-ASPM-03,UC-ASPM,F1-SignalInjection,CSPM,scenarios/cspm/  (proposed),Table Stakes,MOAT,MTTD,Qualitative pass,ASPM Command Center (/api/v1/asoc/findings),"Validate Application-Centric Risk View — Per-application risk aggregation combines code, IaC, image, runtime, and DSPM f"
TC-ASPM-04,UC-ASPM,F5-AutomationWorkflow,CSPM,scenarios/cspm/  (proposed),Table Stakes,MOAT,Automation Rate,Qualitative pass,ASPM Command Center (/api/v1/asoc/findings),Validate AppSec Operationalization — AppSec policies enforced across CI/CD (block builds with Critical findings)
TC-AISP-01,UC-AISP,F3-AssetDiscovery,AI_SPM,scenarios/ai_spm/  (proposed),Cloud-Native,MOAT,Asset Discovery Coverage,Qualitative pass,Cortex Cloud Inventory (/api/v1/inventory),"Validate AI Asset Discovery & Inventory — AI/ML resources (SageMaker endpoints, Bedrock models, Vertex AI, OpenAI integr"
TC-AISP-02,UC-AISP,F1-SignalInjection,AI_SPM,scenarios/ai_spm/  (proposed),Table Stakes,MOAT,MTTD,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,"Validate AI Model Security Assessment — AI models assessed for security risks: data poisoning vectors, model extraction "
TC-AISP-03,UC-AISP,F3-AssetDiscovery,AI_SPM,scenarios/ai_spm/  (proposed),Cloud-Native,MOAT,Asset Discovery Coverage,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,Validate AI Ecosystem & Supply Chain Risk — Third-party AI model dependencies and plugins inventoried
TC-AISP-04,UC-AISP,F1-SignalInjection,AI_SPM,scenarios/ai_spm/  (proposed),Table Stakes,MOAT,MTTD,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,"Validate AI Static Risk Analysis — AI-specific static analysis identifies: hardcoded API keys in ML pipelines, insecure "
TC-AISP-05,UC-AISP,F1-SignalInjection,AI_SPM,scenarios/ai_spm/  (proposed),Table Stakes,MOAT,MTTD,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,Validate AI Sensitive Data Classification — Training data stores scanned for sensitive data (PII/PHI/PCI in training set
TC-AISP-06,UC-AISP,F3-AssetDiscovery,AI_SPM,scenarios/ai_spm/  (proposed),Table Stakes,MOAT,Asset Discovery Coverage,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,Validate AI Security Dashboard & Posture — AI-SPM dashboard shows aggregate AI security posture across all discovered AI
TC-SCS-01,UC-SCS,F3-AssetDiscovery,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,Asset Discovery Coverage,Qualitative pass,Cortex Cloud Inventory (/api/v1/inventory),"Validate CI/CD Asset Discovery — VCS repositories, CI/CD pipelines, container registries, and build systems discovered w"
TC-SCS-02,UC-SCS,F4-PostureCompliance,CSPM,scenarios/cspm/  (proposed),Cloud-Native,LEAD,Compliance Score,Qualitative pass,Cortex Cloud Policies + Alerts view,"Validate Supply Chain Compliance Assessment — CI/CD pipelines evaluated against supply chain security standards (SLSA, S"
TC-SCS-03,UC-SCS,F3-AssetDiscovery,CSPM,scenarios/cspm/  (proposed),Cloud-Native,LEAD,Asset Discovery Coverage,Qualitative pass,Cortex Cloud Inventory (/api/v1/inventory),Validate Supply Chain Inventory & SBOM — Complete software bill of materials (SBOM) generated for containerized applicat
TC-SCS-04,UC-SCS,F1-SignalInjection,CSPM,scenarios/cspm/  (proposed),Cloud-Native,LEAD,MTTD,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,Validate Supply Chain Risk Catalog — Centralized catalog of all supply chain components with risk scoring
TC-SCS-05,UC-SCS,F1-SignalInjection,CSPM,scenarios/cspm/  (proposed),Cloud-Native,LEAD,MTTD,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,"Validate Container Image Scanning — Container images scanned in registries (ECR, ACR, GCR, DockerHub) and at runtime"
TC-CITH-01,UC-CITH,F1-SignalInjection,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,MTTD,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Posture Dashboard + REST API,Validate Cloud Exploit Prevention — Cortex Agent prevents exploitation of known and unknown vulnerabilities on cloud wor
TC-CITH-02,UC-CITH,F1-SignalInjection,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,MTTD,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Runtime Alerts + /api/v1/alerts,"Validate Cloud Malware Detection & Response — Known and unknown malware detected on cloud workloads via static analysis,"
TC-CITH-03,UC-CITH,F2-CausalityStitching,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Causality Chain Completeness,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Runtime Alerts + /api/v1/alerts,Validate Behavioral IOC Detection (BIOC) — BIOC alerts include full causality context
TC-CITH-04,UC-CITH,F1-SignalInjection,ANALYTICS,scenarios/multi_plane/,Cloud-Native,PARITY,MTTD,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Runtime Alerts + /api/v1/alerts,Validate AI Runtime Security Analytics — AI-powered runtime analytics detect anomalous cloud workload behavior without s
TC-CITH-05,UC-CITH,F1-SignalInjection,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,MTTD,within 5 min,XSIAM UI + XQL · Cortex Cloud Posture Dashboard + REST API,Validate WildFire Intelligence & Sandbox — WildFire verdicts propagate to all Cortex Cloud agents within 5 minutes
TC-CITH-06,UC-CITH,F1-SignalInjection,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,MTTD,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Posture Dashboard + REST API,Validate Cloud Ransomware Prevention — Ransomware-specific detection and prevention across cloud workloads
TC-CITH-07,UC-CITH,F2-CausalityStitching,ANALYTICS,scenarios/multi_plane/,AI-Native,MOAT,Cross-Source Correlation Rate,>80%,XSIAM Incidents (XQL: dataset=incidents) · Cortex Cloud Posture Dashboard + REST API,Demonstrate AI-Powered Alert Stitching — alert-to-incident ratio demonstrates >80% noise reduction
TC-CITH-08,UC-CITH,F2-CausalityStitching,ANALYTICS,scenarios/multi_plane/,Platform,PARITY,Causality Chain Completeness,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Posture Dashboard + REST API,Validate Root Cause Analysis & Cross-Data Insights — Causality view reconstructs complete attack chain from initial acce
TC-CITH-09,UC-CITH,F3-AssetDiscovery,ANALYTICS,scenarios/multi_plane/,Table Stakes,PARITY,Discovery Latency,Qualitative pass,XQL query engine (/public_api/v1/xql/start_xql_query) · Cortex Cloud Posture Dashboard + REST API,"Validate Cloud Investigation Query Language — XQL/RQL queries execute across cloud telemetry (CloudTrail, VPC Flow, runt"
TC-CMTTD-01,UC-CMTTD,F8-IntegrationIngestion,CSPM,scenarios/cspm/  (proposed),Table Stakes,PARITY,Completeness %,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Posture Dashboard + REST API,"Validate EDR Telemetry Completeness — Complete process, file, registry, network, and cloud API event telemetry captured "
TC-CMTTD-02,UC-CMTTD,F1-SignalInjection,CSPM,scenarios/cspm/  (proposed),Table Stakes,PARITY,False Positive Rate,<5%,XSIAM UI + XQL · Cortex Cloud Runtime Alerts + /api/v1/alerts,Validate Detection Rule Accuracy — false positive rate <5% on production-representative test data
TC-CMTTD-03,UC-CMTTD,F2-CausalityStitching,CSPM,scenarios/cspm/  (proposed),Table Stakes,PARITY,Cross-Source Correlation Rate,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Posture Dashboard + REST API,Validate User & Entity Behavior Analytics (UEBA) — UEBA baselines normal behavior for cloud identities and workloads
TC-CMTTD-04,UC-CMTTD,F4-PostureCompliance,CSPM,scenarios/cspm/  (proposed),Table Stakes,PARITY,Coverage %,Qualitative pass,XSIAM UI + XQL · Cortex Cloud Runtime Alerts + /api/v1/alerts,Validate Retroactive Detection Coverage — retroactive scan covers full retention window
TC-CMTTR-01,UC-CMTTR,F2-CausalityStitching,CSPM,scenarios/cspm/  (proposed),Platform,LEAD,Causality Chain Completeness,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,Validate Causality View Investigation — Complete attack causality chain visualized from initial access through impact
TC-CMTTR-02,UC-CMTTR,F4-PostureCompliance,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,Coverage %,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,Validate MITRE ATT&CK Mapping Accuracy — coverage heat map reflects detection portfolio across all ATT&CK stages
TC-CMTTR-03,UC-CMTTR,F1-SignalInjection,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,MTTD,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,Validate Ad-Hoc Query Investigation — Investigators run ad-hoc queries across all cloud telemetry with interactive respo
TC-CMTTR-04,UC-CMTTR,F3-AssetDiscovery,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,Discovery Latency,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,Validate Live Terminal Remote Access — remote investigation commands execute with full audit trail
TC-CMTTR-05,UC-CMTTR,F1-SignalInjection,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,MTTD,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,Validate Search & Destroy Across Hosts — File hash/path search executes across entire managed cloud fleet
TC-CMTTR-06,UC-CMTTR,F6-ResponseTiming,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,SLA Compliance,<2 min,Cortex Cloud Posture Dashboard + REST API,Validate Host Isolation & Containment — Network isolation of compromised cloud workloads executed within defined SLA (<2
TC-CMTTR-07,UC-CMTTR,F5-AutomationWorkflow,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,Remediation Success Rate,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,Validate Remote Script Execution — Remediation scripts execute remotely on cloud workloads via Cortex Agent
TC-CMTTR-08,UC-CMTTR,F5-AutomationWorkflow,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,Automation Rate,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,Validate Native Response Automation — Automated response playbooks trigger on detection rules
TC-RSER-01,UC-RSER,F1-SignalInjection,CDR,scenarios/cdr/,Cloud-Native,LEAD,MTTD,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,"Validate Cloud-Native Platform Deployment — Cortex Agent deploys to VMs (EC2, Azure VM, GCE), containers (EKS, AKS, GKE,"
TC-RSER-02,UC-RSER,F6-ResponseTiming,CDR,scenarios/cdr/,Table Stakes,LEAD,SLA Compliance,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,"Validate Agent Configuration Management — Agent configurations (prevention mode, logging level, exception rules) managed"
TC-RSER-03,UC-RSER,F4-PostureCompliance,CDR,scenarios/cdr/,Cloud-Native,LEAD,Coverage %,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,"Validate On-Premises Workload Support — Cortex Agent deploys to on-prem workloads (bare metal, VMware, Hyper-V) with sam"
TC-RSER-04,UC-RSER,F1-SignalInjection,CDR,scenarios/cdr/,Table Stakes,LEAD,MTTD,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,Validate Agent Upgrade Process — non-disruptive upgrade with zero endpoint downtime
TC-ASER-05,UC-ASER,F6-ResponseTiming,CSPM,scenarios/cspm/  (proposed),Cloud-Native,LEAD,MTTR,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,"Validate AppSec Reporting & Metrics — AppSec dashboard shows aggregate finding trends, MTTR for security findings, and d"
TC-RSER-06,UC-RSER,F3-AssetDiscovery,CDR,scenarios/cdr/,Table Stakes,LEAD,Asset Discovery Coverage,Qualitative pass,Cortex Cloud Inventory (/api/v1/inventory),Validate Host Inventory & Coverage Analysis — Centralized host inventory shows all managed + unmanaged cloud workloads
TC-WAAS-01,UC-WAAS,F3-AssetDiscovery,CDR,scenarios/cdr/,Table Stakes,MOAT,Asset Discovery Coverage,Qualitative pass,Cortex Cloud Inventory (/api/v1/inventory),"Validate API Discovery & Inventory — APIs discovered across cloud-native applications (API Gateway, ALB, Kubernetes Ingr"
TC-WAAS-02,UC-WAAS,F1-SignalInjection,CDR,scenarios/cdr/,Table Stakes,MOAT,MTTD,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,Validate API Endpoint Security Assessment — API endpoints assessed for OWASP API Top 10 risks
TC-WAAS-03,UC-WAAS,F1-SignalInjection,CDR,scenarios/cdr/,Table Stakes,MOAT,MTTD,Qualitative pass,Cortex Cloud Runtime Alerts + /api/v1/alerts,Validate Web Application Threat Detection — OWASP Top 10 web attacks detected with accurate classification
TC-WAAS-04,UC-WAAS,F1-SignalInjection,CDR,scenarios/cdr/,Cloud-Native,MOAT,MTTD,Qualitative pass,Cortex Cloud Runtime Alerts + /api/v1/alerts,Validate Agent-Based Threat Detection (Runtime) — Cortex Agent detects web application attacks at runtime (in-process)
TC-WAAS-05,UC-WAAS,F1-SignalInjection,CDR,scenarios/cdr/,Table Stakes,MOAT,MTTD,<5%,Cortex Cloud Posture Dashboard + REST API,Validate Agent-Based Threat Protection — protection doesn't require signature updates for zero-day exploits
TC-IACS-01,UC-IACS,F1-SignalInjection,CSPM,scenarios/cspm/  (proposed),Cloud-Native,MOAT,MTTD,Qualitative pass,Cortex Cloud Runtime Alerts + /api/v1/alerts,"Validate IaC Misconfiguration Detection — Known misconfigurations detected across Terraform, CloudFormation, Pulumi, ARM"
TC-IACS-02,UC-IACS,F4-PostureCompliance,CSPM,scenarios/cspm/  (proposed),Cloud-Native,MOAT,Coverage %,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,"Validate support for a diverse set of IaC frameworks including Terraform (and modules), Kubernetes, Helm, Dockerfile, et"
TC-SSCAN-02,UC-SSCAN,F4-PostureCompliance,CSPM,scenarios/cspm/  (proposed),Table Stakes,MOAT,Coverage %,Qualitative pass,Cortex Cloud Runtime Alerts + /api/v1/alerts,"Validate Secret Detection Rule Coverage — Detection covers 100+ secret types (cloud provider keys, SaaS tokens, private "
TC-SSCAN-05,UC-SSCAN,F5-AutomationWorkflow,CSPM,scenarios/cspm/  (proposed),Table Stakes,MOAT,Remediation Success Rate,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,Validate Secret Remediation Workflow — Auto-rotation supported for select secret types (AWS keys via IAM API)
TC-SCA-01,UC-SCA,F1-SignalInjection,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,MTTD,Qualitative pass,Cortex Cloud Runtime Alerts + /api/v1/alerts,"Validate Dependency Vulnerability Detection — Known CVEs detected in direct and transitive dependencies across npm, pip,"
TC-SCA-02,UC-SCA,F1-SignalInjection,CSPM,scenarios/cspm/  (proposed),Table Stakes,LEAD,MTTD,Qualitative pass,Cortex Cloud Posture Dashboard + REST API,"Validate Vulnerability Prioritization — Vulnerabilities prioritized by exploitability (EPSS), fix availability, runtime "
